Topic,Stance,Argument
Animal/human cloning,in favor,"{
  ""character attack premise"": ""Persons who advocate for animal/human cloning are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for animal/human cloning should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Research in artificial intelligence,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Nuclear energy,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that nuclear energy undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that nuclear energy undermines the value of human life."",
  ""conclusion"": ""Nuclear energy undermines the value of human life.""
}"
Use of online social networks,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that use of online social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Use of online social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Gun control,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that gun control undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that gun control undermines the value of human life."",
  ""conclusion"": ""Gun control undermines the value of human life.""
}"
Universal basic pension,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that universal basic pension is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Universal basic pension can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Gender quotas,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for gender quotas should not be accepted.""
}"
Genetic manipulation,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for genetic manipulation should not be accepted.""
}"
Reduction in working time,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that reduction in working time undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that reduction in working time undermines the value of human life."",
  ""conclusion"": ""Reduction in working time undermines the value of human life.""
}"
Remote work,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that remote work should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Remote work should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
